date,n_stocks,n_days,pc1,pc1_5,lambda_max,mp_upper,n_signif,eff_rank
2004-06-30,100,253,0.3047610190025839,0.4255785695959192,30.476101900258392,2.65264614391991,4,9.76905929874412
2004-07-30,100,253,0.2956473273608193,0.4172737604744282,29.56473273608192,2.65264614391991,3,10.29818245897832
2004-08-31,100,252,0.3079796401557538,0.4284718417472776,30.79796401557538,2.656706973522821,3,9.58198189982468
2004-09-30,100,253,0.2937545513211053,0.4177363996382531,29.37545513211053,2.65264614391991,3,10.389297936856847
2004-10-29,100,253,0.2962486985540929,0.4239344206921169,29.6248698554093,2.65264614391991,4,10.218338448609993
2004-11-30,100,252,0.2974869751822694,0.4295914125389999,29.748697518226948,2.656706973522821,4,10.119467901461409
2004-12-31,100,253,0.2997449062987818,0.4291296086934812,29.974490629878193,2.65264614391991,4,10.00856832858823
2005-01-31,100,252,0.2986287110162079,0.4294392448476083,29.862871101620797,2.656706973522821,4,10.071059103890825
2005-02-28,100,252,0.3014962569149434,0.4396747542047942,30.14962569149434,2.656706973522821,4,9.859780401908234
2005-03-31,100,252,0.2834502081589581,0.426762934062067,28.3450208158958,2.656706973522821,4,10.917053485334236
2005-04-29,100,253,0.2933159802561626,0.4395224689079128,29.33159802561627,2.65264614391991,4,10.273880131767024
2005-05-31,100,252,0.2903638883954901,0.4336268128863434,29.03638883954901,2.656706973522821,4,10.469710710956496
2005-06-30,100,254,0.285269311777395,0.4330966250373375,28.5269311777395,2.6486123976778924,4,10.740117663838388
2005-07-29,100,254,0.2817631931161752,0.4333109808655399,28.17631931161753,2.6486123976778924,4,10.910678938656895
2005-08-31,100,254,0.2734592657403315,0.4331057552294089,27.34592657403315,2.6486123976778924,4,11.339908029155712
2005-09-30,100,254,0.2703605368933529,0.4286428226277866,27.03605368933529,2.6486123976778924,4,11.537889781646266
2005-10-31,100,253,0.2840658068610117,0.4358316318252502,28.406580686101176,2.65264614391991,4,10.733870007330976
2005-11-30,100,254,0.2778378298283875,0.4290291224558856,27.78378298283876,2.6486123976778924,4,11.120392017581729
2005-12-30,100,254,0.2797053914470257,0.4311085813279615,27.970539144702585,2.6486123976778924,4,11.022687953158044
2006-01-31,100,253,0.2718618295711603,0.4341930231437842,27.186182957116028,2.65264614391991,4,11.375852470984888
2006-02-28,100,253,0.2749165426070959,0.4199503806424541,27.49165426070959,2.65264614391991,4,11.44291943174424
2006-03-31,100,254,0.2698187402949575,0.4210550905763655,26.981874029495756,2.6486123976778924,4,11.69438511790927
2006-04-28,100,253,0.2545455354805084,0.4037273136050032,25.454553548050843,2.65264614391991,4,12.877923939070373
2006-05-31,100,253,0.2557703615797341,0.3964733212881319,25.577036157973417,2.65264614391991,4,12.917832411694803
2006-06-30,100,253,0.2794294221433228,0.4227348494865082,27.942942214332287,2.65264614391991,3,11.107766293872412
2006-07-31,100,252,0.2826783948406576,0.4273872129843728,28.267839484065764,2.656706973522821,4,10.87948067118353
2006-08-31,100,253,0.2745439512002215,0.4229514828697544,27.45439512002216,2.65264614391991,4,11.407802321416913
2006-09-29,100,253,0.271926608333944,0.4228043438940825,27.19266083339441,2.65264614391991,4,11.56266552954184
2006-10-31,100,253,0.2569632847013867,0.411443318319992,25.696328470138667,2.65264614391991,4,12.62651909979833
2006-11-30,100,253,0.2625101922471165,0.4166449034675674,26.25101922471165,2.65264614391991,4,12.218162906222128
2006-12-29,100,253,0.2616652126332514,0.4122601328339482,26.166521263325144,2.65264614391991,4,12.301323555667704
2007-01-31,100,252,0.2602533629214606,0.4120890393008412,26.025336292146054,2.656706973522821,3,12.387861215276738
2007-02-28,100,252,0.2763329880258822,0.4279558901439129,27.63329880258822,2.656706973522821,3,11.231451965076117
2007-03-30,100,252,0.2957744546982124,0.4405732908745869,29.57744546982125,2.656706973522821,3,10.078300167493026
2007-04-30,100,251,0.2949063930384458,0.4392607148910986,29.490639303844578,2.6607951806975985,3,10.129508371917003
2007-05-31,100,252,0.2897135087378256,0.4362022779299664,28.97135087378256,2.656706973522821,3,10.426142654129771
2007-06-29,100,252,0.2857644798558975,0.4317930208999307,28.57644798558974,2.656706973522821,3,10.65564834696026
2007-07-31,100,252,0.3002228315386943,0.4421042919725621,30.022283153869427,2.656706973522821,3,9.833573288854415
